OBJECTID,NAME,FACILITYID,SUBSTATIONTYPE,DISTRICT,IMAP_VOLTAGE,IMAP_LOAD_PROFILE,EXIST_GEN,QUE_GEN,TOT_GEN,PROJ_LOAD,PENETRATION,Shape__Area,Shape__Length
25601,TRABUCO,TB,138/12 kV,OC,12kV,(576 Data Points),38.216,1.57,39.786,96.62579,33,57598685.6601563,31152.988507457
25602,BOULEVARD EAST,BUE,138/69/12.47 kV,EA,12kV,(576 Data Points),3.817,7.269,11.086,7.06819,13,362539334.890625,78914.5279098501
25603,GRANITE,GR,69/12 kV,EA,12kV,(576 Data Points),60.919,1.829,62.748,98.50777,51,113404400.722656,42126.671650888
25604,KYOCERA,KA,69/12 kV,BC,12kV,(576 Data Points),3.848,0,3.848,,31,120.1445313,56.6806158455291
25605,PALA,PA,69/12 kV,NE,12kV,(576 Data Points),23.991,1.5,25.491,26.9344,80,132460427.601563,43605.5626060019
25606,MURRAY,MY,69/12 kV,EA,12kV,(576 Data Points),55.098,3.029,58.126,88.25076,47,59599066.515625,29733.75937
25607,NORTH CITY WEST,NCW,69/12 kV,NC,12kV,(576 Data Points),43.496,1.266,44.763,50.10677,72,39075384.6757813,23289.4618632508
25608,OLD TOWN,OT,230/138/69/12 kV,BC,12kV,(576 Data Points),33.784,2.485,36.268,71.40936,38,69098568.91,31953.9885204612
25609,MISSION,MS,230/138/69/12 kV,BC,12kV,(576 Data Points),45.027,3.298,48.327,89.14136,39,58865520.4453125,31241.0201577125
25610,PARADISE,PD,69/12 kV,CM,12kV,(576 Data Points),56.225,3.775,59.998,60.21592,94,61326805.9101563,30928.9126423404
25611,STUART,STU,69/12 kV,NC,12kV,(576 Data Points),0.999,0,0.999,4.58756,11,9527020.87890625,14241.3373548563
25612,BARRETT,BAR,69/12 kV,EA,12kV,(576 Data Points),6.552,0.46,7.012,4.6667,52,381972255.253906,73919.7757975122
25613,PROCTOR VALLEY,PV,138/12 kV,CM,12kV,(576 Data Points),50.63,1.678,52.307,56.50399,85,65310763.4882813,31863.7493420241
25614,ROSE CANYON,RN,69/12 kV,BC,12kV,(576 Data Points),38.516,1.215,39.731,42.44309,65,46366412.2578125,25834.8102796061
25615,EASTGATE,EG,69/12 kV,BC,12kV,(576 Data Points),2.033,0,2.033,21.64565,3,14429780.4414063,15231.8675013019
25616,ASH,AS,69/12 kV,NE,12kV,(576 Data Points),60.298,2.692,62.989,75.77945,69,77491207.3515625,34957.8299054487
25617,PENDLETON,PN,69/12 kV,NC,12kV,(576 Data Points),9.67,0,9.67,,16,39484525.4726563,40904.6268622661
25618,SAN LUIS REY,SA,230/138/69/12 kV,NC,12kV,(576 Data Points),68.007,7.243,75.249,86.79893,58,111279714.2,39873.9508445131
25619,MONSERATE,MN,69/12 kV,NE,12kV,(576 Data Points),41.921,2.159,44.08,39.75762,70,196145286.648438,53027.638183319
25620,GRANT HILL,GHL,138/12 kV,CM,12kV,(576 Data Points),21.449,1.551,23.001,28.92357,36,26435004.890625,19312.0955132598
25621,MESA RIM,MRM,69/12 kV,BC,12kV,(576 Data Points),42.941,1.145,44.086,87.7877,36,33092535.890625,24008.1297143317
25622,SWEETWATER,SW,69/12/4 kV,CM,12kV,(576 Data Points),20.455,6.721,27.174,52.62798,35,34312897.6210938,21707.2775086225
25623,STATION F,F,69/12 kV,CM,12kV,(576 Data Points),22.501,1.263,23.765,84.64702,25,36750870.0429688,23259.3389139582
25624,LAGUNA NIGUEL,LNL,138/12 kV,OC,12kV,(576 Data Points),46.812,1.87,48.678,102.24758,39,105963811.640625,42082.4921514058
25625,CLAIREMONT,CM,69/12 kV,BC,12kV,(576 Data Points),40.115,1.405,41.521,48.9355,67,32124363.9570313,23179.2358929202
25626,LILAC,LI,69/12 kV,NE,12kV,(576 Data Points),39.919,1.266,41.183,31.14494,67,276658718.652344,61847.3712295092
25627,LOS COCHES,LCS,138/69/12 kV,EA,12kV,(576 Data Points),47.511,2.582,50.095,63.83564,53,183026223.3,53667.0060099483
25628,OTAY,OY,69/12 kV,CM,12kV,(576 Data Points),38.651,1.22,39.871,50.30903,65,52205748.59,27128.4221761557
25629,OCEAN RANCH,OR,69/12 kV,NC,12kV,(576 Data Points),34.875,1.507,36.382,27.50963,0,35136415.0976563,23465.2520120061
25630,SAN MATEO,SMO,138/12 kV,OC,12kV,(576 Data Points),19.552,0.541,20.094,33.27361,45,174833479.527344,58163.0894497264
25631,BERNARDO,BE,69/12 kV,NE,12kV,(576 Data Points),43.85,1.911,45.762,92.38174,30,49182821.4804688,26703.674578752
25632,ESCO,ESCO,69/12/4 kV,NE,12kV,(576 Data Points),12.934,1.172,14.107,45.95391,20,19215723.31,16581.5773316694
25633,SAN JUAN CAPISTRANO,SJC,230/138/12kV,OC,12kV,(576 Data Points),27.817,1.434,29.253,48.01869,31,62539711.7695313,30609.5470365533
25634,SAN MARCOS,SM,69/12 kV,NE,12kV,(576 Data Points),74.488,4.967,79.454,90.49562,63,151381657.722656,50079.5882527678
25635,RANCHO MISSION VIEJO,RMV,138/12 kV,OC,12kV,(576 Data Points),21.596,1.235,22.831,27.91379,36,13640302.6757813,15566.3101126282
25636,SAN YSIDRO,SYO,69/12 kV,CM,12kV,(576 Data Points),43.152,4.583,47.735,50.89758,87,106331871.609375,49422.8297669291
25637,POWAY,POW,69/12 kV,NE,12kV,(576 Data Points),55.47,0.778,56.248,45.47546,95,210154486.378906,55034.8855769351
25638,MIRA SORRENTO,MTO,69/12 kV,BC,12kV,(576 Data Points),16.314,1.08,17.394,,28,10317170.203125,14777.8735272761
25639,MONTGOMERY,MG,69/12 kV,CM,12kV,(576 Data Points),17.668,2.848,20.514,44.46084,30,31447796.7304688,21651.5298110597
